spcd,band,id,year,month,day,sex,sex_method,age,wing,tarsus,wt,fat,lean,mlos,last_day,depart_night,depart_type,depart_time,array_nights
MAWA,2670-80640,436,2014,5,14,f,mol,ASY,59,18.83,9.4,1.35,6.41,5,5/18/2014,5/18/2014,Interrupted,1.310828933,4
MAWA,2670-80641,437,2014,5,14,m,mol,ASY,56,17.37,7.5,0.15,5.86,3,5/16/2014,5/16/2014,LPBOTIP,1.408128355,1
MAWA,2670-80638,438,2014,5,13,f,mol,SY,55,17.41,8.4,0.8,6.15,13,5/24/2014,5/25/2014,PostRelocation,NA,1
MAWA,2670-80632,439,2014,5,13,NA,mol,ASY,61,18.18,8.6,0.51,6.6,NA,NA,NA,NA,NA,0
MAWA,2670-80635,440,2014,5,13,NA,mol,ASY,58,17.95,7.9,0.56,5.82,1,5/13/2014,5/13/2014,LPBOTIP,2.252289677,1
MAWA,2670-80637,441,2014,5,13,f,mol,SY,57,17.4,8.5,0.8,6.24,12,5/13/2014,5/24/2014,PostRelocation,NA,1
MAWA,2670-80643,442,2014,5,14,m,mol,ASY,60,18.38,9.4,1.63,6.22,1,5/14/2014,5/14/2014,Interrupted,3.222785163,11
MAWA,2670-80642,443,2014,5,14,m,mol,SY,57,18.1,8.8,0.92,6.48,NA,NA,NA,NA,NA,NA
MAWA,2670-80644,444,2014,5,14,m,mol,ASY,56,17.71,7.9,0.13,6.31,6,5/19/2014,5/19/2014,Interrupted,4.537743717,3
MAWA,2670-80645,445,2014,5,14,NA,mol,ASY,56,17.7,7.6,0.02,6.22,8,NA,5/21/2014,Uninterrupted,NA,1
MAWA,2670-80650,446,2014,5,14,NA,mol,SY,59,18.36,8.9,1.23,6.19,1,5/14/2014,5/14/2014,NA,NA,0
BTBW,2690-64542,447,2014,5,14,f,plum,SY,63,18.76,10.8,1.68,7.41,1,5/14/2014,5/14/2014,Interrupted,NA,8
BTBW,2690-64537,449,2014,5,14,f,plum,SY,61,19.38,9,0.45,6.93,7,5/19/2014,5/20/2014,Interrupted,NA,3
